S/No;C_1_Temps[s];C_1_Force[kN];C_1_Déplacement[mm]
1;0.10002432;1.578104734;0.000862544
2;0.20004864;1.651432037;0.002848022
3;0.30007296;1.680598021;0.003678018
4;0.40009728;1.719229102;0.004752129
5;0.5001216;1.800000787;0.007339761
6;0.60002304;1.824514031;0.008430147
7;0.70004736;1.891114712;0.010822485
8;0.80007168;1.919562936;0.012873062
9;0.900096;1.987546206;0.016485982
10;1.00012032;2.024130106;0.019480474
11;1.10002176;2.061617851;0.023304962
12;1.20004608;2.106045008;0.027699053
13;1.3000704;2.163047552;0.032744121
14;1.40009472;2.218827486;0.038521539
15;1.50011904;2.252912045;0.043875821
16;1.60002048;2.296541452;0.049539316
17;1.7000448;2.360669613;0.056374568
18;1.80006912;2.392972946;0.062607668
19;1.90009344;2.458111286;0.069866061
20;2.00011776;2.493870974;0.076261908
21;2.1000192;2.550474882;0.083796956
22;2.20004352;2.60263896;0.090794958
23;2.30006784;2.64299798;0.09800452
24;2.40009216;2.708402395;0.105832517
25;2.50011648;2.747937441;0.112716593
26;2.60001792;2.792284727;0.120219097
27;2.70004224;2.854711294;0.12809591
28;2.80006656;2.900892973;0.135207832
29;2.90009088;2.943751335;0.14253132
30;3.0001152;3.00405097;0.150326759
31;3.10001664;3.050365686;0.157373577
32;3.20004096;3.09178853;0.164680794
33;3.30006528;3.153390646;0.172573879
34;3.4000896;3.202842712;0.179799721
35;3.50011392;3.240250826;0.187139481
36;3.60001536;3.301268339;0.195000023
37;3.70003968;3.359281301;0.202762932
38;3.800064;3.398789644;0.210070133
39;3.90008832;3.444386721;0.21773538
40;4.00011264;3.507185459;0.22562848
41;4.10001408;3.546906471;0.232821763
42;4.2000384;3.592237473;0.240275443
43;4.30006272;3.654345036;0.248038352
44;4.40008704;3.702361345;0.255508304
45;4.50011136;3.741523981;0.262734145
46;4.6000128;3.794139862;0.270513296
47;4.70003712;3.855449915;0.278097183
48;4.80006144;3.88469553;0.285241663
49;4.90008576;3.94204402;0.293020815
50;5.00011008;4.007208824;0.300783724
51;5.10001152;4.041585922;0.308009565
52;5.20003584;4.090426445;0.315577149
53;5.30006016;4.150566578;0.323405147
54;5.40008448;4.199460506;0.33081001
55;5.5001088;4.232614517;0.338084668
56;5.60001024;4.297035217;0.345880121
57;5.70003456;4.343004227;0.353122234
58;5.80005888;4.383337021;0.36046201
59;5.9000832;4.445497513;0.368208617
60;6.00010752;4.49210453;0.375548393
61;6.10000896;4.532437325;0.382627755
62;6.20003328;4.593561172;0.390423179
63;6.3000576;4.648756027;0.398186088
64;6.40008192;4.676725388;0.404956251
65;6.50010624;4.741225719;0.413044631
66;6.60000768;4.801073551;0.420856357
67;6.700032;4.847361565;0.42817983
68;6.80005632;4.891256809;0.435747445
69;6.90008064;4.951503277;0.443754435
70;7.00010496;5.013291836;0.451517344
71;7.1000064;5.045435429;0.458482802
72;7.20003072;5.099779606;0.466229409
73;7.30005504;5.161328793;0.473715633
74;7.40007936;5.191026211;0.480534613
75;7.50010368;5.254197598;0.488151044
76;7.60000512;5.306121826;0.495344341
77;7.70002944;5.34201479;0.502293527
78;7.80005376;5.407764435;0.509779751
79;7.90007808;5.441795826;0.516452253
80;8.0001024;5.498825073;0.523905933
81;8.10000384;5.556040764;0.531115532
82;8.20002816;5.591880322;0.53791821
83;8.30005248;5.659331799;0.545518339
84;8.4000768;5.691369057;0.55219084
85;8.50010112;5.747680664;0.559498072
86;8.60000256;5.802955151;0.566577435
87;8.70002688;5.843154907;0.573526621
88;8.8000512;5.904544353;0.580866396
89;8.90007552;5.935917377;0.587490082
90;9.00009984;5.996642113;0.594797313
91;9.10000128;6.040989399;0.601583719
92;9.2000256;6.088606834;0.60872817
93;9.30004992;6.153718948;0.61618185
94;9.40007424;6.184453487;0.622903228
95;9.50009856;6.247784138;0.630519629
96;9.6;6.295507908;0.637485087
97;9.70002432;6.336266041;0.644499362
98;9.80004864;6.407492638;0.652327359
99;9.90007296;6.441683769;0.659081221
100;10.00009728;6.493475437;0.666599989
101;10.1001216;6.561883926;0.674314082
102;10.20002304;6.601047039;0.681377172
103;10.30004736;6.650658131;0.688602984
104;10.40007168;6.712898731;0.696056664
105;10.500096;6.744457722;0.702664077
106;10.60012032;6.80877161;0.710150361
107;10.70002176;6.848519325;0.716839135
108;10.80004608;6.898130894;0.723853409
109;10.9000704;6.959121704;0.731111765
110;11.00009472;6.993286133;0.737784266
111;11.10011904;7.061429024;0.745270491
112;11.20002048;7.089903831;0.751682639
113;11.3000448;7.159003735;0.759185135
114;11.40006912;7.197182655;0.765776277
115;11.50009344;7.249293327;0.773067236
116;11.60011776;7.303079128;0.779983819
117;11.7000192;7.343677521;0.786802828
118;11.80004352;7.409852982;0.794142604
119;11.90006784;7.441943645;0.800489604
120;12.00009216;7.508703709;0.807927012
121;12.10011648;7.540608406;0.814339101
122;12.20001792;7.601120472;0.8215487
123;12.30004224;7.64286232;0.828188658
124;12.40006656;7.694334984;0.835137844
125;12.50009088;7.758090973;0.842412472
126;12.6001152;7.790740013;0.848857164
127;12.70001664;7.858324051;0.856229484
128;12.80004096;7.893658638;0.862722993
129;12.90006528;7.953266621;0.870111525
130;13.0000896;7.994875431;0.876751482
131;13.10011392;8.050868034;0.883912265
132;13.20001536;8.09864521;0.890812576
133;13.30003968;8.139987946;0.897599041
134;13.400064;8.206908226;0.904710948
135;13.50008832;8.238387108;0.911123097
136;13.60011264;8.30862999;0.918479085
137;13.70001408;8.335589409;0.92454946
138;13.8000384;8.407533646;0.931986868
139;13.90006272;8.434971809;0.938057244
140;14.00008704;8.503726006;0.945494652
141;14.10011136;8.542410851;0.951874197
142;14.2000128;8.604863167;0.959067523
143;14.30003712;8.642935753;0.965414524
144;14.40006144;8.705256462;0.972607791
145;14.50008576;8.749949455;0.979117572
146;14.60011008;8.802512169;0.986034214
147;14.70001152;8.849464417;0.992560267
148;14.80003584;8.902639389;0.999590814
149;14.90006016;8.958126068;1.00637722
150;15.00008448;9.000000954;1.013098598
151;15.1001088;9.060300827;1.019982576
152;15.20001024;9.102174759;1.026557446
153;15.30003456;9.161704063;1.033441544
154;15.40005888;9.199617386;1.039869905
155;15.5000832;9.256300926;1.046607614
156;15.60010752;9.298467636;1.053117275
157;15.70000896;9.351589203;1.059675932
158;15.80003328;9.397079468;1.066234469
159;15.9000576;9.44844532;1.072711706
160;16.00008192;9.497073174;1.079530716
161;16.10010624;9.549104691;1.085926533
162;16.20000768;9.601799965;1.092761755
163;16.300032;9.642690659;1.099125147
164;16.40005632;9.70450592;1.106155634
165;16.50008064;9.746726036;1.112649083
166;16.60010496;9.798916817;1.119370461
167;16.7000064;9.841960907;1.125733733
168;16.80003072;9.898831367;1.132585287
169;16.90005504;9.935281754;1.138720751
170;17.00007936;9.996273041;1.145735025
171;17.10010368;10.03038406;1.151772857
172;17.20000512;10.1017704;1.159161448
173;17.30002944;10.13699818;1.165280581
174;17.40005376;10.20407772;1.172604084
175;17.50007808;10.23220634;1.178544283
176;17.6001024;10.30452347;1.185867786
177;17.70000384;10.33847523;1.192052007
178;17.80002816;10.4015131;1.199163914
179;17.90005248;10.44636536;1.205689907
180;18.0000768;10.50754261;1.212687969
181;18.10010112;10.55274105;1.219311595
182;18.20000256;10.60280418;1.226114392
183;18.30002688;10.66291809;1.232965827
184;18.4000512;10.70633411;1.23973608
185;18.50007552;10.76581001;1.24647367
186;18.60009984;10.80175591;1.253048539
187;18.70000128;10.85944939;1.259704709
188;18.8000256;10.90103149;1.26629591
189;18.90004992;10.9545784;1.27295208
190;19.00007424;11.01299;1.280080318
191;19.10009856;11.09267139;1.288331389
192;19.2;11.17091751;1.297005653
193;19.30002432;11.24328709;1.305891514
194;19.40004864;11.3143549;1.314972639
195;19.50007296;11.38191223;1.324297905
196;19.60009728;11.44861984;1.333802104
197;19.7001216;11.52917862;1.343680739
198;19.80002304;11.6113596;1.353689432
199;19.90004736;11.68766403;1.363502979
200;20.00007168;11.75157928;1.373170018
201;20.100096;11.81709003;1.382625341
202;20.20012032;11.89387417;1.392650485
203;20.30002176;11.98315334;1.403017282
204;20.40004608;12.04698849;1.412960887
205;20.5000704;12.11635494;1.422839522
206;20.60009472;12.19545174;1.433173776
207;20.70011904;12.2812748;1.443540573
208;20.80002048;12.34542942;1.453370333
209;20.9000448;12.4178791;1.46341157
210;21.00006912;12.49793243;1.47364819
211;21.10009344;12.57522106;1.483835936
212;21.20011776;12.63233089;1.493421555
213;21.3000192;12.70741272;1.503414154
214;21.40004352;12.7891674;1.513569355
215;21.50006784;12.85810852;1.523561835
216;21.60009216;12.92215633;1.533228874
217;21.70011648;12.99298477;1.542977214
218;21.80001792;13.07072544;1.553002238
219;21.90004224;13.15019417;1.56301105
220;22.00006656;13.21650219;1.572775602
221;22.10009088;13.2777319;1.582068324
222;22.2001152;13.34023857;1.59147501
223;22.30001664;13.40891266;1.600946665
224;22.40004096;13.48649406;1.610613704
225;22.50006528;13.55604649;1.619971395
226;22.6000896;13.63256359;1.629443169
227;22.70011392;13.69887161;1.638817191
228;22.80001536;13.76318645;1.647979736
229;22.90003968;13.82625103;1.657028317
230;23.000064;13.8870554;1.666125655
231;23.10008832;13.95158195;1.675158024
232;23.20011264;14.01597595;1.684076309
233;23.30001408;14.07885456;1.693108678
234;23.4000384;14.14138794;1.701880574
235;23.50006272;14.2059679;1.710815191
236;23.60008704;14.27224922;1.719668508
237;23.70011136;14.33866405;1.728652
238;23.8000128;14.39744759;1.7372123
239;23.90003712;14.46625519;1.746065617
240;24.00006144;14.53083515;1.754707336
241;24.10008576;14.59528255;1.763462901
242;24.20011008;14.66220188;1.772153497
243;24.30001152;14.71673203;1.780567408
244;24.40003584;14.77793598;1.788948655
245;24.50006016;14.8283453;1.797118425
246;24.60008448;14.87670708;1.805174232
247;24.7001088;14.93320465;1.813295245
248;24.80001024;14.99860859;1.821595192
249;24.90003456;15.06321526;1.829732418
250;25.00005888;15.1111784;1.837413907
251;25.1000832;15.14667225;1.844721079
252;25.20010752;15.2187767;1.852874637
253;25.30000896;15.27575302;1.860425949
254;25.40003328;15.31249619;1.867651701
255;25.5000576;15.37045574;1.875235677
256;25.60008192;15.43947601;1.883096218
257;25.70010624;15.46725941;1.88985002
258;25.80000768;15.52125835;1.897206068
259;25.900032;15.57958984;1.904415607
260;26.00005632;15.609128;1.910990477
261;26.10008064;15.6773777;1.918379068
262;26.20010496;15.69612122;1.924400687
263;26.3000064;15.76657677;1.931626439
264;26.40003072;15.78649044;1.937599182
265;26.50005504;15.85620213;1.944662333
266;26.60007936;15.88789368;1.950814009
