R1B2_1,,,R1B2_2,,,R1B2_3,,,R1R2_1,,,R1R2_2,,,R1R2_3,,
Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse
sec,N,mm,sec,N,mm,sec,N,mm,sec,N,mm,sec,N,mm,sec,N,mm
0,0.009536743,7.50E-05,0,0.09854635,3.75E-05,0,-0.07311503,3.75E-05,0,0.3306071,3.75E-05,0,0.6612142,8.75E-05,0,0.3560384,7.50E-05
0.01,0.0222524,0.0004125,0.01,0.1303355,0.0003875,0.01,-0.07311503,0.00035,0.01,0.3465017,0.0003625,0.01,0.6612142,0.00055,0.01,0.3814697,0.0004375
0.02,0.06357829,0.0012125,0.02,0.1335144,0.0012125,0.02,-0.07629395,0.001275,0.02,0.3782908,0.00115,0.02,0.6961823,0.001375,0.02,0.4037221,0.0012
0.03,0.1080831,0.00215,0.03,0.1207987,0.0022,0.03,-0.08900961,0.00225,0.03,0.4164378,0.0021125,0.03,0.7470449,0.0022125,0.03,0.4037221,0.002125
0.04,0.1748403,0.003,0.04,0.149409,0.0030375,0.04,-0.04132589,0.0030375,0.04,0.4673004,0.00295,0.04,0.8265178,0.003025,0.04,0.4545847,0.0029875
0.05,0.3210703,0.00385,0.05,0.2924601,0.0038625,0.05,0.1303355,0.0038375,0.05,0.5849202,0.0037625,0.05,0.9886423,0.0038625,0.05,0.6103516,0.003875
0.06,0.5880992,0.004725,0.06,0.5880992,0.0047125,0.06,0.4577637,0.0046625,0.06,0.8424123,0.0046,0.06,1.296997,0.0047375,0.06,0.9028117,0.00475
0.07,0.9791056,0.0056125,0.07,1.0554,0.0055625,0.07,0.9123484,0.0055125,0.07,1.277924,0.005475,0.07,1.751582,0.005625,0.07,1.300176,0.0056375
0.08,1.43369,0.0064875,0.08,1.614889,0.0064125,0.08,1.424154,0.006375,0.08,1.811981,0.0063625,0.08,2.291997,0.0065,0.08,1.767476,0.0065
0.09,1.913706,0.0073625,0.09,2.190272,0.007275,0.09,1.951853,0.007275,0.09,2.384186,0.00725,0.09,2.857844,0.0073625,0.09,2.266566,0.0073375
0.1,2.428691,0.0082,0.1,2.75294,0.0081375,0.1,2.498627,0.00815,0.1,2.959569,0.00815,0.1,3.423691,0.0081875,0.1,2.800624,0.0081875
0.11,2.988179,0.009037499,0.11,3.302892,0.008987499,0.11,3.048579,0.0090125,0.11,3.576279,0.009025,0.11,3.989538,0.009025,0.11,3.379186,0.00905
0.12,3.585815,0.009862499,0.12,3.862381,0.0098375,0.12,3.614426,0.00985,0.12,4.227956,0.009875,0.12,4.555384,0.009862499,0.12,3.989538,0.0099
0.13,4.18663,0.0107125,0.13,4.434586,0.0107,0.13,4.205704,0.0106875,0.13,4.898707,0.0107125,0.13,5.137125,0.0106875,0.13,4.615784,0.0107375
0.14,4.768372,0.01155,0.14,5.025864,0.01155,0.14,4.83195,0.0115125,0.14,5.566279,0.0115375,0.14,5.741119,0.0115375,0.14,5.251566,0.011575
0.15,5.334219,0.0124,0.15,5.626678,0.0123875,0.15,5.474091,0.0123625,0.15,6.227493,0.012375,0.15,6.367365,0.0123875,0.15,5.874634,0.0124125
0.16,5.903244,0.0132375,0.16,6.252924,0.0132125,0.16,6.109873,0.0132,0.16,6.898244,0.0132125,0.16,6.993612,0.013225,0.16,6.469091,0.0132375
0.17,6.465912,0.014075,0.17,6.904602,0.014025,0.17,6.742477,0.0140375,0.17,7.575353,0.01405,0.17,7.610321,0.0140625,0.17,7.076263,0.014075
0.18,7.031759,0.0149125,0.18,7.559458,0.014875,0.18,7.359187,0.0148875,0.18,8.261998,0.0148875,0.18,8.223851,0.0149,0.18,7.718404,0.0148875
0.19,7.591248,0.01575,0.19,8.198421,0.0157125,0.19,7.960002,0.015725,0.19,8.96136,0.015725,0.19,8.862813,0.015725,0.19,8.382797,0.0157125
0.2,8.1412,0.016575,0.2,8.811951,0.0165375,0.2,8.576711,0.0165625,0.2,9.651184,0.0165625,0.2,9.520848,0.01655,0.2,9.059906,0.0165375
0.21,8.665721,0.0174,0.21,9.419124,0.0173875,0.21,9.237926,0.0174,0.21,10.33783,0.0174,0.21,10.17253,0.0173875,0.21,9.727478,0.0173625
0.22,9.145737,0.018225,0.22,10.01994,0.018225,0.22,9.915034,0.018225,0.22,11.0213,0.018225,0.22,10.80513,0.018225,0.22,10.38869,0.0182
0.23,9.562175,0.0190375,0.23,10.63665,0.0190625,0.23,10.56671,0.0190625,0.23,11.7143,0.01905,0.23,11.42502,0.0190625,0.23,11.05626,0.0190375
0.24,9.940465,0.0198875,0.24,11.27879,0.0199,0.24,11.21839,0.019875,0.24,12.41684,0.019875,0.24,12.02583,0.0199,0.24,11.72702,0.019875
0.25,10.30922,0.020725,0.25,11.93682,0.020725,0.25,11.87007,0.0207,0.25,13.12256,0.0206875,0.25,12.58214,0.020725,0.25,12.40412,0.020725
0.26,10.6589,0.0215625,0.26,12.59168,0.02155,0.26,12.52174,0.0215375,0.26,13.82828,0.0215125,0.26,13.10349,0.0215625,0.26,13.08123,0.0215625
0.27,10.95454,0.0224125,0.27,13.24018,0.022375,0.27,13.16706,0.0223625,0.27,14.53082,0.0223375,0.27,13.61211,0.0224,0.27,13.74881,0.0224
0.28,11.20249,0.02325,0.28,13.87596,0.0232,0.28,13.82828,0.0232,0.28,15.20793,0.0231875,0.28,14.12392,0.0232375,0.28,14.41002,0.023225
0.29,11.41866,0.0240875,0.29,14.47995,0.024025,0.29,14.49267,0.0240375,0.29,15.88186,0.024025,0.29,14.60393,0.0240625,0.29,15.08395,0.02405
0.3,11.62211,0.0249125,0.3,15.06805,0.0248625,0.3,15.15706,0.0248875,0.3,16.57804,0.0248625,0.3,15.05852,0.0248875,0.3,15.78013,0.0248875
0.31,11.8192,0.0257375,0.31,15.63708,0.0256875,0.31,15.84053,0.025725,0.31,17.32191,0.0257125,0.31,15.47178,0.0257125,0.31,16.48585,0.025725
0.32,12.00676,0.026575,0.32,16.18385,0.0265375,0.32,16.54625,0.0265625,0.32,18.08802,0.02655,0.32,15.82146,0.0265375,0.32,17.17249,0.02655
0.33,12.18796,0.0274125,0.33,16.71473,0.0273875,0.33,17.25515,0.0274,0.33,18.8605,0.027375,0.33,16.07895,0.0273625,0.33,17.82417,0.0273875
0.34,12.37551,0.0282375,0.34,17.24879,0.028225,0.34,17.95133,0.0282125,0.34,19.6298,0.0282,0.34,16.26968,0.0282,0.34,18.46313,0.028225
0.35,12.53764,0.029075,0.35,17.78921,0.0290625,0.35,18.63798,0.02905,0.35,20.38638,0.02905,0.35,16.44135,0.0290375,0.35,19.12753,0.0290625
0.36,12.65844,0.0299125,0.36,18.29465,0.0298875,0.36,19.29601,0.0298875,0.36,21.13342,0.0298875,0.36,16.63208,0.0298875,0.36,19.82053,0.0299125
0.37,12.73791,0.03075,0.37,18.74606,0.0307,0.37,19.94769,0.030725,0.37,21.86775,0.030725,0.37,16.87686,0.030725,0.37,20.51353,0.0307375
0.38,12.78877,0.0315875,0.38,19.15932,0.0315375,0.38,20.62798,0.0315625,0.38,22.60526,0.0315625,0.38,17.18521,0.0315625,0.38,21.19064,0.03155
0.39,12.83963,0.0324125,0.39,19.58847,0.032375,0.39,21.33051,0.0324,0.39,23.33641,0.0324125,0.39,17.51264,0.0324,0.39,21.87093,0.0323875
0.4,12.90003,0.03325,0.4,20.05259,0.0332125,0.4,22.03306,0.0332375,0.4,24.08028,0.03325,0.4,17.81146,0.0332125,0.4,22.5544,0.0332
0.41,12.96997,0.034075,0.41,20.52943,0.03405,0.41,22.7197,0.0340625,0.41,24.83368,0.034075,0.41,18.07213,0.0340375,0.41,23.23151,0.034025
0.42,13.03037,0.0349,0.42,20.9713,0.0348875,0.42,23.39363,0.0349,0.42,25.58072,0.0349125,0.42,18.32962,0.0348875,0.42,23.91179,0.0348625
