Brut 1,,,Brut 2,,,Recuit,,,Recuit test 250°C,,,Etiré test amb,,,Etiré test 250°C,,
Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse
sec,N,mm,sec,N,mm,sec,N,mm,sec,N,mm,sec,N,mm,sec,N,mm
0,0.07947286,7.50E-05,0,0.08583069,8.75E-05,0,0.07947286,7.50E-05,0,2.75294,6.25E-05,0,0.01907349,8.75E-05,0,1.916885,6.25E-05
0.01,0.0445048,0.00055,0.01,0.03496806,0.0006125,0.01,0.07311503,0.0005625,0.01,2.711614,0.000175,0.01,0.0222524,0.0005625,0.01,1.948675,0.0001625
0.02,0.0222524,0.0015375,0.02,-0.003178914,0.0015875,0.02,0.06993612,0.0015625,0.02,2.727509,0.0004,0.02,0.0222524,0.001475,0.02,1.942317,0.000425
0.03,0.03496806,0.0023125,0.03,-0.006357829,0.0023375,0.03,0.06357829,0.0023125,0.03,2.768834,0.0013625,0.03,0.01271566,0.0023,0.03,1.891454,0.0015875
0.04,0.06039937,0.0031625,0.04,0.01907349,0.003175,0.04,0.04768372,0.003125,0.04,2.791087,0.003075,0.04,0.01271566,0.0031125,0.04,1.913706,0.003375
0.05,0.06357829,0.004,0.05,0.06357829,0.0040125,0.05,0.02861023,0.0039375,0.05,2.867381,0.004275,0.05,0.02861023,0.0039625,0.05,2.069473,0.004225
0.06,0.04768372,0.00485,0.06,0.09854635,0.0048625,0.06,-0.003178914,0.0048125,0.06,3.156662,0.0047,0.06,0.03814697,0.0048125,0.06,2.311071,0.004375
0.07,0.04768372,0.0057125,0.07,0.08900961,0.0057125,0.07,-0.0222524,0.00565,0.07,3.833771,0.005325,0.07,0.03496806,0.0056625,0.07,2.63532,0.00545
0.08,0.06357829,0.00655,0.08,0.06039937,0.0065375,0.08,-0.0222524,0.0065,0.08,4.873276,0.0065,0.08,0.003178914,0.0065375,0.08,3.131231,0.006625
0.09,0.07311503,0.0074,0.09,0.04768372,0.007375,0.09,0.003178914,0.0073625,0.09,5.995432,0.0074375,0.09,-0.01271566,0.007375,0.09,3.709793,0.0073375
0.1,0.06993612,0.0082375,0.1,0.06993612,0.008225,0.1,0.02861023,0.0082125,0.1,6.955465,0.00815,0.1,-0.003178914,0.008225,0.1,4.180273,0.0081875
0.11,0.05404155,0.0090625,0.11,0.08900961,0.009075,0.11,0.02861023,0.00905,0.11,7.775625,0.008975,0.11,0.01907349,0.0090625,0.11,4.536311,0.0090875
0.12,0.03814697,0.0098875,0.12,0.09854635,0.0099125,0.12,0.01271566,0.0099,0.12,8.576711,0.009862499,0.12,0.01271566,0.0099125,0.12,4.898707,0.0099125
0.13,0.02861023,0.0107,0.13,0.08900961,0.01075,0.13,0.003178914,0.010725,0.13,9.380977,0.0106875,0.13,-0.01589457,0.01075,0.13,5.251566,0.0107625
0.14,0.0222524,0.0115375,0.14,0.06993612,0.0116,0.14,0.0222524,0.0115375,0.14,10.06762,0.0115375,0.14,-0.03814697,0.0115875,0.14,5.429586,0.0115875
0.15,0.02861023,0.012375,0.15,0.07311503,0.0124375,0.15,0.06357829,0.0123625,0.15,10.57943,0.0123875,0.15,-0.03178914,0.012425,0.15,5.413691,0.0124125
0.16,0.04768372,0.0132125,0.16,0.08900961,0.013275,0.16,0.08900961,0.0131875,0.16,10.88142,0.013225,0.16,-0.0222524,0.0132375,0.16,5.378723,0.0132375
0.17,0.07311503,0.01405,0.17,0.1049042,0.0141,0.17,0.07311503,0.014025,0.17,11.01812,0.01405,0.17,-0.0222524,0.0140625,0.17,5.448659,0.014075
0.18,0.09854635,0.0149,0.18,0.1144409,0.014925,0.18,0.01907349,0.01485,0.18,11.07534,0.014875,0.18,-0.0222524,0.0148875,0.18,5.515417,0.0148875
0.19,0.1080831,0.0157375,0.19,0.1207987,0.01575,0.19,-0.02543131,0.0157,0.19,11.10077,0.0157125,0.19,-0.003178914,0.0157125,0.19,5.499522,0.0157125
0.2,0.1049042,0.016575,0.2,0.1080831,0.016575,0.2,-0.04768372,0.01655,0.2,11.11348,0.0165375,0.2,0.03496806,0.0165375,0.2,5.489985,0.016525
0.21,0.08583069,0.0174,0.21,0.07947286,0.0174,0.21,-0.03814697,0.017375,0.21,11.10395,0.01735,0.21,0.07311503,0.017375,0.21,5.575816,0.0173375
0.22,0.06993612,0.0182375,0.22,0.03814697,0.018225,0.22,-0.02543131,0.0182125,0.22,11.11348,0.01815,0.22,0.08900961,0.018225,0.22,5.68072,0.0181375
0.23,0.06993612,0.019075,0.23,0.003178914,0.0190625,0.23,-0.006357829,0.01905,0.23,11.1866,0.018975,0.23,0.06357829,0.019075,0.23,5.741119,0.01895
0.24,0.1049042,0.0199125,0.24,-0.006357829,0.0198875,0.24,0.01271566,0.0198625,0.24,11.32647,0.0198,0.24,0.009536743,0.0199125,0.24,5.852381,0.0197875
0.25,0.1462301,0.02075,0.25,0.009536743,0.0207375,0.25,0.0222524,0.0207125,0.25,11.52356,0.0206125,0.25,-0.03814697,0.02075,0.25,6.141663,0.020625
0.26,0.1716614,0.0215875,0.26,0.05404155,0.0215875,0.26,0.03496806,0.02155,0.26,11.79059,0.0214375,0.26,-0.04132589,0.0215625,0.26,6.545385,0.0214625
0.27,0.149409,0.022425,0.27,0.1080831,0.0224125,0.27,0.0222524,0.0223875,0.27,12.15935,0.022275,0.27,-0.003178914,0.0224,0.27,6.923676,0.0223
0.28,0.09854635,0.0232625,0.28,0.149409,0.02325,0.28,-0.006357829,0.0232375,0.28,12.63936,0.0231,0.28,0.03814697,0.0232375,0.28,7.289251,0.023125
0.29,0.06357829,0.0241,0.29,0.1557668,0.0240625,0.29,-0.03178914,0.0240625,0.29,13.16706,0.02395,0.29,0.05404155,0.0240625,0.29,7.737478,0.023975
0.3,0.06039937,0.0249375,0.3,0.1207987,0.0249125,0.3,-0.0222524,0.0249125,0.3,13.68205,0.024775,0.3,0.0445048,0.0249,0.3,8.227031,0.0248125
0.31,0.04768372,0.02575,0.31,0.08583069,0.02575,0.31,-0.003178914,0.02575,0.31,14.16524,0.0256125,0.31,0.02861023,0.02575,0.31,8.646647,0.02565
0.32,0.03496806,0.0265875,0.32,0.07311503,0.0265875,0.32,0.009536743,0.026575,0.32,14.59758,0.0264375,0.32,0.02861023,0.0265875,0.32,9.021759,0.0265
0.33,0.0222524,0.0274,0.33,0.07947286,0.027425,0.33,0.003178914,0.0274,0.33,14.94408,0.0273,0.33,0.04768372,0.027425,0.33,9.463628,0.02735
0.34,0.0445048,0.028225,0.34,0.07947286,0.0282625,0.34,-0.006357829,0.028225,0.34,15.25243,0.0281375,0.34,0.07311503,0.0282625,0.34,9.95636,0.0281875
0.35,0.08900961,0.0290625,0.35,0.06993612,0.0291125,0.35,-0.01589457,0.02905,0.35,15.61801,0.028975,0.35,0.08583069,0.0291,0.35,10.33783,0.029025
0.36,0.1144409,0.0298875,0.36,0.05404155,0.02995,0.36,-0.0222524,0.029875,0.36,16.08213,0.0298125,0.36,0.07947286,0.0299125,0.36,10.58261,0.0298625
0.37,0.1144409,0.03075,0.37,0.06039937,0.030775,0.37,-0.02543131,0.0307125,0.37,16.57168,0.03065,0.37,0.06039937,0.0307375,0.37,10.80513,0.030675
0.38,0.09854635,0.0315875,0.38,0.07311503,0.0316,0.38,-0.03178914,0.03155,0.38,16.98176,0.0315,0.38,0.03814697,0.0315625,0.38,11.04991,0.0315
0.39,0.09536743,0.032425,0.39,0.07947286,0.032425,0.39,-0.03178914,0.0323875,0.39,17.34416,0.0323375,0.39,0.01907349,0.0323875,0.39,11.23428,0.0323375
0.4,0.09854635,0.03325,0.4,0.05404155,0.03325,0.4,-0.01271566,0.0332375,0.4,17.84007,0.033175,0.4,0.0222524,0.0332125,0.4,11.29786,0.033175
0.41,0.08900961,0.0340875,0.41,0.01907349,0.0340625,0.41,0.02861023,0.0340625,0.41,18.45678,0.034,0.41,0.03496806,0.0340625,0.41,11.37098,0.034025
