"CuivreC1",,,,"CuivreC1+N",,,,"AcierC70",,,
"Temps","Force","Stroke","Ext.1","Temps","Force","Stroke","Ext.1","Temps","Force","Stroke","Ext.1"
"sec","N","mm","mm","sec","N","mm","mm","sec","N","mm","mm"
"0","143.954","7.5E-05","-0.000445048","0","237.023","6.25E-05","0","0","81.86976","5E-05","0.001144409"
"0.01","143.9857","0.0001625","-0.0008265178","0.01","237.0262","0.0001375","0","0.01","81.8952","0.00015","0.001589457"
"0.02","143.9857","0.000525","-0.001207987","0.02","237.058","0.0005375","0","0.02","81.93652","0.000525","0.001970927"
"0.03","144.0048","0.0018625","-0.001207987","0.03","237.1089","0.001975","0","0.03","81.99056","0.0019375","0.001589457"
"0.04","144.1924","0.00335","-0.001653036","0.04","237.2456","0.0033625","0","0.04","82.17493","0.0034","0.001144409"
"0.05","145.0221","0.0040625","-0.001653036","0.05","237.9417","0.0040125","0.0003814697","0.05","82.97602","0.00405","0.001144409"
"0.06","147.4349","0.0046875","-0.001207987","0.06","240.1193","0.004725","0","0.06","85.28074","0.004675","0.001144409"
"0.07","151.9839","0.0057125","-0.0008265178","0.07","244.1788","0.005725","0","0.07","89.48326","0.0057125","0.0007629395"
"0.08","157.5279","0.0066125","-0.0008265178","0.08","248.9122","0.006575","0.0003814697","0.08","94.41376","0.0066","0.0003814697"
"0.09","161.8926","0.0073875","-0.0008265178","0.09","252.3804","0.00735","0","0.09","98.13309","0.007375","0"
"0.1","164.0606","0.0082125","-0.0008265178","0.1","253.8999","0.0081875","0","0.1","99.85288","0.0082","-0.000445048"
"0.11","164.7186","0.0090625","-0.000445048","0.11","254.2528","0.0090625","0","0.11","100.2979","0.00905","-0.001653036"
"0.12","164.8426","0.009875","0.001144409","0.12","254.2782","0.0099","0.0003814697","0.12","100.3393","0.009862499","-0.002415975"
"0.13","164.8585","0.0107","0.001589457","0.13","254.2941","0.010725","0","0.13","100.3329","0.0106875","-0.002797445"
"0.14","164.868","0.0115375","0","0.14","254.364","0.0115625","0","0.14","100.3202","0.011525","-0.002415975"
"0.15","164.9253","0.0123625","-0.0008265178","0.15","254.5071","0.0123625","0.0003814697","0.15","100.3043","0.01235","-0.001207987"
"0.16","165.0556","0.013175","-0.0008265178","0.16","254.8027","0.01315","0.0003814697","0.16","100.3901","0.0131375","0.0003814697"
"0.17","165.3131","0.013975","-0.001207987","0.17","255.4893","0.01395","0.0003814697","0.17","100.7684","0.01395","0.0003814697"
"0.18","165.9107","0.014775","-0.001207987","0.18","256.8595","0.0147625","0.0003814697","0.18","101.6426","0.0147875","0.001144409"
"0.19","167.2014","0.0156","-0.001207987","0.19","259.107","0.0155625","0.0003814697","0.19","103.1844","0.0156125","0.001589457"
"0.2","169.4616","0.016425","-0.001207987","0.2","262.2096","0.0164","0.0003814697","0.2","105.4223","0.01645","0.001589457"
"0.21","172.65","0.0172625","-0.001207987","0.21","265.9988","0.017225","0.0003814697","0.21","108.2452","0.0172625","0.001589457"
"0.22","176.5347","0.0180875","-0.0008265178","0.22","270.2459","0.0180625","0.0003814697","0.22","111.4845","0.0180875","0.001589457"
"0.23","180.8834","0.0189125","-0.000445048","0.23","274.7917","0.0189","0.0003814697","0.23","114.9877","0.018925","0.001589457"
"0.24","185.5469","0.01975","0","0.24","279.4997","0.01975","0.0003814697","0.24","118.6466","0.0197625","0.001589457"
"0.25","190.3852","0.0205875","-0.000445048","0.25","284.2712","0.0206","0.0003814697","0.25","122.3755","0.0206125","0.001589457"
"0.26","195.2839","0.0214375","-0.000445048","0.26","289.0333","0.0214375","0.0003814697","0.26","126.1393","0.0214625","0.001970927"
"0.27","200.1953","0.0222875","-0.0008265178","0.27","293.7985","0.022275","0.0007629395","0.27","129.9222","0.0223","0.001970927"
"0.28","205.1194","0.023125","-0.0008265178","0.28","298.5605","0.0231125","0.0003814697","0.28","133.7306","0.02315","0.002352397"
"0.29","210.0627","0.0239625","-0.0008265178","0.29","303.2939","0.0239375","0.0003814697","0.29","137.5612","0.024","0.002352397"
"0.3","215.0027","0.0248125","-0.0008265178","0.3","307.951","0.024775","0.0007629395","0.3","141.36","0.024825","0.002352397"
"0.31","219.9173","0.0256375","-0.0008265178","0.31","312.5127","0.025625","0.0007629395","0.31","145.0761","0.02565","0.002352397"
"0.32","224.8065","0.026475","-0.0008265178","0.32","316.9727","0.0264625","0.0007629395","0.32","148.7033","0.026475","0.002352397"
"0.33","229.6702","0.0273125","-0.0008265178","0.33","321.3755","0.0273125","0.0007629395","0.33","152.27","0.0273","0.002352397"
"0.34","234.5371","0.0281375","-0.000445048","0.34","325.7688","0.02815","0.0007629395","0.34","155.7922","0.0281375","0.002733866"
"0.35","239.4072","0.028975","-0.000445048","0.35","330.1398","0.0289875","0.0007629395","0.35","159.2477","0.028975","0.002733866"
"0.36","244.2519","0.0298125","-0.000445048","0.36","334.4218","0.0298375","0.0007629395","0.36","162.6269","0.029825","0.002733866"
"0.37","249.0552","0.0306625","-0.000445048","0.37","338.5894","0.030675","0.0007629395","0.37","165.9552","0.030675","0.002352397"
"0.38","253.8331","0.0315125","-0.000445048","0.38","342.652","0.0315","0.0007629395","0.38","169.239","0.031525","0.002352397"
"0.39","258.6111","0.0323625","-0.000445048","0.39","346.6161","0.0323375","0.0007629395","0.39","172.4911","0.0323625","0.001970927"
"0.4","263.408","0.0332125","-0.000445048","0.4","350.5071","0.0331625","0.001144409","0.4","175.7113","0.0331875","0.001970927"
"0.41","268.2368","0.0340375","-0.000445048","0.41","354.3377","0.0339875","0.001144409","0.41","178.8775","0.0340125","0.001970927"
"0.42","273.1101","0.0348625","-0.000445048","0.42","358.1143","0.034825","0.001144409","0.42","181.9897","0.03485","0.001970927"
"0.43","278.0151","0.035675","0","0.43","361.8368","0.0357","0.001589457","0.43","185.0255","0.0356875","0.001970927"
