S/No;C_1_Temps[s];C_1_Force[kN];C_1_Déform1[mm];C_1_Déplacement[mm];
1;0.100024320000102;1.57810473442078;0.000199999994947575;0.000862543936818838;
2;0.200048640000205;1.65143203735352;0.00039999998989515;0.00284802238456905;
3;0.300072960000307;1.68059802055359;0.000500000023748726;0.00367801752872765;
4;0.400097279999954;1.7192291021347;0.000500000023748726;0.00475212885066867;
5;0.500121600000057;1.80000078678131;0.00039999998989515;0.00733976066112518;
6;0.600023039999996;1.82451403141022;0.000500000023748726;0.00843014661222696;
7;0.700047360000099;1.89111471176147;0.000500000023748726;0.0108224852010608;
8;0.800071680000201;1.91956293582916;0.000500000023748726;0.0128730619326234;
9;0.900096000000303;1.98754620552063;0.000699999975040555;0.0164859816431999;
10;1.00012031999995;2.02413010597229;0.000699999975040555;0.019480474293232;
11;1.10002176000035;2.06161785125732;0.000600000028498471;0.0233049616217613;
12;1.20004607999999;2.10604500770569;0.0007999999797903;0.0276990532875061;
13;1.3000704000001;2.16304755210876;0.000699999975040555;0.0327441208064556;
14;1.4000947200002;2.21882748603821;0.000699999975040555;0.0385215394198895;
15;1.5001190400003;2.25291204452515;0.00039999998989515;0.0438758209347725;
16;1.60002048000024;2.29654145240784;0.000699999975040555;0.0495393164455891;
17;1.70004480000034;2.36066961288452;0.000600000028498471;0.0563745684921741;
18;1.80006911999999;2.39297294616699;0.000500000023748726;0.0626076683402061;
19;1.90009344000009;2.45811128616333;0.00100000004749745;0.0698660612106323;
20;2.00011776000019;2.49387097358704;0.000699999975040555;0.0762619078159332;
21;2.10001920000013;2.55047488212585;0.00120000005699694;0.0837969556450844;
22;2.20004352000024;2.60263895988464;0.00100000004749745;0.0907949581742287;
23;2.30006784000034;2.6429979801178;0.00100000004749745;0.0980045199394226;
24;2.40009215999999;2.70840239524841;0.00179999996908009;0.105832517147064;
25;2.50011648000009;2.74793744087219;0.00100000004749745;0.112716592848301;
26;2.60001792000003;2.79228472709656;0.00150000001303852;0.120219096541405;
27;2.70004224000013;2.85471129417419;0.00209999992512167;0.128095909953117;
28;2.80006656000023;2.90089297294617;0.0015999999595806;0.135207831859589;
29;2.90009088000033;2.94375133514404;0.0019000000320375;0.14253132045269;
30;3.00011519999998;3.00405097007751;0.00289999996311963;0.150326758623123;
31;3.10001663999992;3.05036568641663;0.00230000005103648;0.157373577356339;
32;3.20004096000002;3.09178853034973;0.00249999994412065;0.164680793881416;
33;3.30006528000013;3.15339064598084;0.00340000004507601;0.172573879361153;
34;3.40008960000023;3.20284271240234;0.00270000007003546;0.179799720644951;
35;3.50011392000033;3.24025082588196;0.00289999996311963;0.187139481306076;
36;3.60001536000027;3.3012683391571;0.00400000018998981;0.195000022649765;
37;3.70003967999992;3.35928130149841;0.00359999993816018;0.202762931585312;
38;3.80006400000002;3.39878964424133;0.0031999999191612;0.210070133209229;
39;3.90008832000012;3.44438672065735;0.00430000014603138;0.217735379934311;
40;4.00011264000022;3.50718545913696;0.00480000022798777;0.225628480315208;
41;4.10001408000016;3.54690647125244;0.00400000018998981;0.232821762561798;
42;4.20003840000027;3.59223747253418;0.00419999985024333;0.24027544260025;
43;4.30006271999991;3.65434503555298;0.00480000022798777;0.248038351535797;
44;4.40008704000002;3.70236134529114;0.00400000018998981;0.255508303642273;
45;4.50011136000012;3.74152398109436;0.00389999989420176;0.262734144926071;
46;4.60001280000006;3.79413986206055;0.00469999993219972;0.270513296127319;
47;4.70003712000016;3.85544991493225;0.00380000006407499;0.278097182512283;
48;4.80006144000026;3.88469552993774;0.0031999999191612;0.285241663455963;
49;4.90008575999991;3.9420440196991;0.00400000018998981;0.293020814657211;
50;5.00011008000001;4.00720882415771;0.00370000000111759;0.300783723592758;
51;5.10001151999995;4.04158592224121;0.00260000000707805;0.308009564876556;
52;5.20003584000006;4.09042644500732;0.00310000008903444;0.315577149391174;
53;5.30006016000016;4.15056657791138;0.00340000004507601;0.323405146598816;
54;5.40008448000026;4.19946050643921;0.00240000011399388;0.330810010433197;
55;5.50010879999991;4.23261451721191;0.00230000005103648;0.338084667921066;
56;5.6000102400003;4.29703521728516;0.00300000002607703;0.345880120992661;
57;5.70003455999995;4.34300422668457;0.0020000000949949;0.353122234344482;
58;5.80005888000005;4.38333702087402;0.00139999995008111;0.360462009906769;
59;5.90008320000015;4.44549751281738;0.00230000005103648;0.36820861697197;
60;6.00010752000026;4.49210453033447;0.00120000005699694;0.375548392534256;
61;6.1000089600002;4.53243732452393;0.000699999975040555;0.382627755403519;
62;6.2000332800003;4.59356117248535;0.0015999999595806;0.390423178672791;
63;6.30005759999995;4.64875602722168;0.000699999975040555;0.398186087608337;
64;6.40008192000005;4.67672538757324;0.000199999994947575;0.404956251382828;
65;6.50010624000015;4.7412257194519;0.00109999999403954;0.413044631481171;
66;6.60000768000009;4.80107355117798;0.000600000028498471;0.420856356620789;
67;6.70003200000019;4.84736156463623;-0.000600000028498471;0.428179830312729;
68;6.80005632000029;4.89125680923462;-0.000500000023748726;0.435747444629669;
69;6.90008063999994;4.95150327682495;0.000199999994947575;0.443754434585571;
70;7.00010496000004;5.01329183578491;-0.000600000028498471;0.451517343521118;
71;7.10000639999998;5.04543542861938;-0.00150000001303852;0.458482801914215;
72;7.20003072000009;5.09977960586548;-0.000600000028498471;0.466229408979416;
73;7.30005504000019;5.16132879257202;-0.000500000023748726;0.473715633153915;
74;7.40007936000029;5.19102621078491;-0.00170000002253801;0.480534613132477;
75;7.50010367999994;5.25419759750366;-0.000600000028498471;0.488151043653488;
76;7.60000512000033;5.30612182617188;-0.00120000005699694;0.495344340801239;
77;7.70002943999998;5.3420147895813;-0.0020000000949949;0.502293527126312;
