"C35",,
"Temps","Force","Stroke"
"sec","N","mm"
"0","-0.06357829","1.25E-05"
"0.01","-0.05086263","0.0002"
"0.02","-0.04768372","0.0008625"
"0.03","-0.07311503","0.00195"
"0.04","-0.07311503","0.0029625"
"0.05","0.009536743","0.00385"
"0.06","0.1653035","0.0047125"
"0.07","0.3178914","0.0055875"
"0.08","0.3910065","0.00645"
"0.09","0.4164378","0.007325"
"0.1","0.4418691","0.0081875"
"0.11","0.483195","0.00905"
"0.12","0.5276998","0.0098875"
"0.13","0.5531311","0.0107375"
"0.14","0.5785624","0.0115625"
"0.15","0.6008148","0.0123875"
"0.16","0.6198883","0.013225"
"0.17","0.6357829","0.0140625"
"0.18","0.6389618","0.0148875"
"0.19","0.629425","0.015725"
"0.2","0.6198883","0.0165625"
"0.21","0.6198883","0.0174125"
"0.22","0.6103516","0.01825"
"0.23","0.6008148","0.019075"
"0.24","0.6008148","0.0199"
"0.25","0.6198883","0.020725"
"0.26","0.6484985","0.02155"
"0.27","0.6707509","0.0223875"
"0.28","0.6643931","0.0232125"
"0.29","0.6643931","0.0240625"
"0.3","0.6898244","0.0249125"
"0.31","0.7152557","0.02575"
"0.32","0.7120768","0.0266"
"0.33","0.6898244","0.027425"
"0.34","0.6739299","0.0282375"
"0.35","0.6643931","0.02905"
"0.36","0.6484985","0.0298875"
"0.37","0.6389618","0.030725"
"0.38","0.6389618","0.0315625"
"0.39","0.6357829","0.0324"
"0.4","0.629425","0.0332375"
"0.41","0.6262462","0.034075"
"0.42","0.6198883","0.0349125"
"0.43","0.6262462","0.0357375"
"0.44","0.6357829","0.03655"
"0.45","0.6389618","0.037375"
"0.46","0.629425","0.0382125"
"0.47","0.6198883","0.0390375"
"0.48","0.6262462","0.0398625"
"0.49","0.6389618","0.0407125"
"0.5","0.6453196","0.0415625"
"0.51","0.6484985","0.0424125"
"0.52","0.6484985","0.04325"
"0.53","0.6612142","0.0440875"
"0.54","0.6739299","0.0449125"
"0.55","0.6866455","0.045725"
"0.56","0.6739299","0.046575"
"0.57","0.6548564","0.0474125"
"0.58","0.6548564","0.04825"
"0.59","0.6707509","0.0490875"
"0.6","0.6866455","0.049925"
"0.61","0.6866455","0.0507625"
"0.62","0.6739299","0.0516"
"0.63","0.6612142","0.0524375"
"0.64","0.6389618","0.05325"
"0.65","0.6357829","0.0540625"
"0.66","0.6389618","0.0548875"
"0.67","0.6453196","0.0557125"
"0.68","0.6389618","0.0565375"
"0.69","0.629425","0.057375"
"0.7","0.6262462","0.058225"
"0.71","0.6198883","0.0590625"
"0.72","0.6198883","0.0599"
"0.73","0.6262462","0.0607375"
"0.74","0.6262462","0.0615625"
"0.75","0.629425","0.062375"
"0.76","0.6484985","0.0632125"
"0.77","0.6802877","0.06405"
"0.78","0.6898244","0.0648875"
"0.79","0.6866455","0.0657375"
"0.8","0.6707509","0.0665875"
"0.81","0.6612142","0.067425"
"0.82","0.6612142","0.0682625"
"0.83","0.6612142","0.0690875"
"0.84","0.6739299","0.0699125"
"0.85","0.6866455","0.070725"
"0.86","0.6961823","0.07155"
"0.87","0.6993611","0.072375"
"0.88","0.6866455","0.0732125"
"0.89","0.6643931","0.07405"
"0.9","0.6612142","0.0748875"
"0.91","0.6612142","0.0757375"
"0.92","0.6548564","0.0765625"
"0.93","0.6453196","0.0774"
"0.94","0.6453196","0.078225"
"0.95","0.6484985","0.07903749"
"0.96","0.6484985","0.07988749"
"0.97","0.6262462","0.080725"
"0.98","0.5849202","0.0815625"
"0.99","0.5499522","0.0824"
"1","0.5404155","0.0832375"
"1.01","0.5531311","0.084075"
"1.02","0.594457","0.0849125"
"1.03","0.6262462","0.08575"
"1.04","0.6357829","0.0865875"
"1.05","0.6389618","0.0874125"
"1.06","0.6453196","0.088225"
"1.07","0.629425","0.0890625"
"1.08","0.6008148","0.0898875"
"1.09","0.5785624","0.0907375"
"1.1","0.5785624","0.0915875"
"1.11","0.5880992","0.092425"
"1.12","0.6103516","0.093275"
"1.13","0.6357829","0.0941"
"1.14","0.6548564","0.094925"
"1.15","0.6453196","0.09573749"
"1.16","0.6198883","0.0965625"
"1.17","0.6039937","0.09739999"
"1.18","0.6135305","0.0982375"
"1.19","0.6262462","0.099075"
"1.2","0.6198883","0.09991249"
"1.21","0.6262462","0.1007625"
"1.22","0.6389618","0.1015875"
"1.23","0.6548564","0.1024125"
"1.24","0.6453196","0.1032375"
"1.25","0.6198883","0.1040625"
"1.26","0.594457","0.104875"
"1.27","0.5849202","0.1057125"
"1.28","0.594457","0.106525"
"1.29","0.6135305","0.1073875"
"1.3","0.629425","0.108225"
"1.31","0.6453196","0.109075"
"1.32","0.6739299","0.1099125"
"1.33","0.6866455","0.1107375"
"1.34","0.6707509","0.1115625"
"1.35","0.6484985","0.1123875"
"1.36","0.6357829","0.113225"
"1.37","0.6357829","0.1140625"
"1.38","0.6357829","0.1149"
"1.39","0.6135305","0.1157375"
"1.4","0.5880992","0.116575"
"1.41","0.5785624","0.1174125"
"1.42","0.6008148","0.11825"
"1.43","0.6262462","0.119075"
"1.44","0.6389618","0.1199"
"1.45","0.6612142","0.120725"
"1.46","0.6961823","0.12155"
"1.47","0.7311503","0.122375"
"1.48","0.7470449","0.1232"
"1.49","0.7470449","0.12405"
"1.5","0.7311503","0.1248875"
"1.51","0.7152557","0.1257375"
"1.52","0.7120768","0.1265875"
"1.53","0.7120768","0.1274125"
"1.54","0.7120768","0.12825"
"1.55","0.7152557","0.1290625"
"1.56","0.7216136","0.1299"
"1.57","0.705719","0.1307375"
"1.58","0.6707509","0.131575"
"1.59","0.629425","0.132425"
"1.6","0.6103516","0.1332625"
"1.61","0.6262462","0.1341"
"1.62","0.6548564","0.1349375"
"1.63","0.6643931","0.1357625"
"1.64","0.6484985","0.1365875"
"1.65","0.6103516","0.1374"
"1.66","0.5626678","0.138225"
"1.67","0.5435944","0.13905"
"1.68","0.5531311","0.139875"
"1.69","0.594457","0.140725"
"1.7","0.629425","0.141575"
"1.71","0.6389618","0.142425"
"1.72","0.6389618","0.1432625"
"1.73","0.6453196","0.144075"
"1.74","0.6453196","0.1449"
"1.75","0.629425","0.145725"
"1.76","0.6039937","0.1465625"
"1.77","0.6103516","0.1474125"
"1.78","0.6357829","0.14825"
"1.79","0.6548564","0.1491"
"1.8","0.6612142","0.1499375"
"1.81","0.6739299","0.150775"
"1.82","0.6993611","0.1516125"
"1.83","0.7152557","0.1524375"
"1.84","0.7120768","0.15325"
"1.85","0.7152557","0.154075"
"1.86","0.7247925","0.1548875"
"1.87","0.7470449","0.1557125"
"1.88","0.7820129","0.15655"
"1.89","0.8074443","0.1573875"
"1.9","0.8106232","0.1582375"
"1.91","0.7979075","0.1590625"
"1.92","0.7979075","0.1599125"
"1.93","0.7851918","0.1607375"
"1.94","0.7565816","0.16155"
"1.95","0.7120768","0.162375"
"1.96","0.6898244","0.163225"
"1.97","0.6961823","0.1640625"
"1.98","0.7247925","0.1649"
"1.99","0.7756551","0.1657375"
"2","0.8328755","0.166575"
"2.01","0.8678436","0.167425"
"2.02","0.8710225","0.1682625"
"2.03","0.8837382","0.169075"
"2.04","0.9028117","0.1699125"
"2.05","0.893275","0.1707375"
"2.06","0.851949","0.171575"
"2.07","0.8233388","0.1724"
"2.08","0.8328755","0.173225"
"2.09","0.8614858","0.1740625"
"2.1","0.8678436","0.174925"
"2.11","0.8455912","0.1757625"
"2.12","0.8265178","0.1766"
"2.13","0.8360545","0.177425"
"2.14","0.8583069","0.17825"
"2.15","0.8710225","0.1790625"
"2.16","0.8869171","0.1799"
"2.17","0.893275","0.1807375"
"2.18","0.893275","0.181575"
"2.19","0.9028117","0.1824125"
"2.2","0.928243","0.1832375"
"2.21","0.9314219","0.1840875"
"2.22","0.9218852","0.1849125"
"2.23","0.9091695","0.18575"
"2.24","0.9187062","0.186575"
"2.25","0.9441376","0.1874"
"2.26","0.9568532","0.188225"
"2.27","0.9441376","0.18905"
"2.28","0.9187062","0.189875"
"2.29","0.9028117","0.1907375"
"2.3","0.9091695","0.1915875"
"2.31","0.9123484","0.192425"
"2.32","0.9187062","0.193275"
"2.33","0.928243","0.1941"
"2.34","0.9473165","0.194925"
"2.35","0.9536743","0.1957375"
"2.36","0.9473165","0.196575"
"2.37","0.9441376","0.1974125"
"2.38","0.9377797","0.19825"
"2.39","0.928243","0.199075"
"2.4","0.9187062","0.199925"
"2.41","0.9091695","0.2007625"
"2.42","0.9091695","0.2015875"
"2.43","0.9123484","0.2024125"
"2.44","0.9314219","0.2032375"
"2.45","0.9536743","0.20405"
"2.46","0.9568532","0.2048875"
"2.47","0.9632111","0.2057125"
"2.48","0.9822845","0.2065375"
"2.49","1.020432","0.207375"
"2.5","1.058578","0.208225"
"2.51","1.08401","0.2090625"
"2.52","1.093547","0.2099"
"2.53","1.08401","0.2107375"
"2.54","1.058578","0.2115625"
"2.55","1.020432","0.2123875"
"2.56","0.9950002","0.2132375"
"2.57","1.007716","0.214075"
"2.58","1.0554","0.2149125"
"2.59","1.099904","0.21575"
"2.6","1.125336","0.2165875"
"2.61","1.115799","0.2174375"
"2.62","1.093547","0.218275"
"2.63","1.093547","0.2191"
"2.64","1.106262","0.219925"
"2.65","1.106262","0.2207375"
"2.66","1.08401","0.2215625"
"2.67","1.074473","0.2223875"
"2.68","1.080831","0.2232125"
"2.69","1.068115","0.22405"
"2.7","1.042684","0.2249125"
