S/No;C_1_Temps[s];C_1_Force[kN];C_1_Déform1[mm];C_1_Déplacement[mm];
1;0.100024320000102;0.002871407661587;-0.00289999996311963;0.00454056169837713;
2;0.200048639999977;0.0147292576730251;-0.000699999975040555;0.0134263914078474;
3;0.30007296000008;0.0145963216200471;0.000199999994947575;0.0219216365367174;
4;0.400097280000182;0.0137455342337489;-0.000300000014249235;0.0302378609776497;
5;0.500121600000057;0.0118578495457768;-0.000699999975040555;0.038798201829195;
6;0.600023039999996;0.0159788522869349;-0.000500000023748726;0.0472771711647511;
7;0.700047360000099;0.0157129801809788;0;0.0558375157415867;
8;0.800071679999974;0.0167498774826527;9.99999974737875E-05;0.0644792318344116;
9;0.900096000000076;0.0145431477576494;9.99999974737875E-05;0.0728930979967117;
10;1.00012032000018;0.0169891621917486;9.99999974737875E-05;0.0813232436776161;
11;1.10002176000012;0.0144633864983916;9.99999974737875E-05;0.0896557494997978;
12;1.20004607999999;0.0195681117475033;9.99999974737875E-05;0.0975488349795341;
13;1.3000704000001;0.0159788522869349;-9.99999974737875E-05;0.105767413973808;
14;1.4000947200002;0.015234412625432;-9.99999974737875E-05;0.114246383309364;
15;1.50011904000007;0.0198339819908142;-0.000199999994947575;0.122611433267593;
16;1.60002048000001;0.0164042450487614;9.99999974737875E-05;0.131253153085709;
17;1.70004480000011;0.0172816198319197;0.000500000023748726;0.139634475111961;
18;1.80006911999999;0.016563767567277;0.000600000028498471;0.148097172379494;
19;1.90009344000009;0.0156332198530436;0.00039999998989515;0.156266927719116;
20;2.00011776000019;0.018158994615078;9.99999974737875E-05;0.164306491613388;
21;2.10001920000013;0.0165903549641371;9.99999974737875E-05;0.172590166330338;
22;2.20004352000001;0.0188236720860004;9.99999974737875E-05;0.180922657251358;
23;2.30006784000011;0.0153141738846898;0.000300000014249235;0.189369082450867;
24;2.40009215999999;0.0206315945833921;0.00150000001303852;0.197978243231773;
25;2.50011648000009;0.0274910684674978;0.00359999993816018;0.206424668431282;
26;2.60001792000003;0.0404389910399914;0.0052000000141561;0.214903637766838;
27;2.70004224000013;0.0519246198236942;0.00490000005811453;0.223284959793091;
28;2.80006656;0.0657499134540558;0.00219999998807907;0.231096684932709;
29;2.90009088000011;0.0757466703653336;0.00209999992512167;0.239282712340355;
30;3.00011519999998;0.0897846594452858;0.00150000001303852;0.247582659125328;
31;3.10001664000015;0.103636547923088;9.99999974737875E-05;0.256045371294022;
32;3.20004096000002;0.117328904569149;-0.00130000000353903;0.26462197303772;
33;3.30006528000013;0.130037546157837;0.000199999994947575;0.273052126169205;
34;3.4000896;0.145564407110214;0.000199999994947575;0.281465977430344;
35;3.5001139200001;0.156279012560844;0.0019000000320375;0.289749681949615;
36;3.60001536000004;0.169918209314346;0.00380000006407499;0.297561377286911;
37;3.70003968000015;0.187492281198502;0.00559999980032444;0.30584505200386;
38;3.80006400000002;0.19514936208725;0.008500000461936;0.314193844795227;
39;3.90008832000012;0.212750032544136;0.0108000002801418;0.322623997926712;
40;4.00011264;0.224315419793129;0.0131000000983477;0.331184327602386;
41;4.10001408000016;0.237157002091408;0.0152000002563;0.339581936597824;
42;4.20003840000004;0.254199326038361;0.0176999997347593;0.347881883382797;
43;4.30006272000014;0.268051207065582;0.0200999993830919;0.356149286031723;
44;4.40008704000002;0.276426166296005;0.0230999998748302;0.363960981369019;
