S/No;C_1_Temps[s];C_1_Force[kN];C_1_Déform1[mm];C_1_Déplacement[mm];
1;0.100024319999648;-0.0374612361192703;0.00139999995008111;-0.00598898436874151;
2;0.200048639999295;-0.0366902090609074;0.00150000001303852;-0.0143377585336566;
3;0.300072959999852;-0.0408112108707428;0.00139999995008111;-0.0226865336298943;
4;0.4000972799995;-0.0362382270395756;0.0015999999595806;-0.0312143266201019;
5;0.500121599999147;-0.0379663892090321;0.00150000001303852;-0.0396607480943203;
6;0.600023039999542;-0.0375144071877003;0.00139999995008111;-0.048042070120573;
7;0.700047359999189;-0.0384183712303638;0.00150000001303852;-0.0562931969761848;
8;0.800071679999746;-0.0372751243412495;0.00150000001303852;-0.0642676576972008;
9;0.900095999999394;-0.038444958627224;0.00139999995008111;-0.0725838840007782;
10;1.00012031999995;-0.0406516864895821;0.00150000001303852;-0.0809814855456352;
11;1.10002175999944;-0.0379929766058922;0.00150000001303852;-0.0892651602625847;
12;1.20004607999999;-0.0380993261933327;0.00150000001303852;-0.0977929532527924;
13;1.30007039999964;-0.0423000864684582;0.00150000001303852;-0.106190554797649;
14;1.40009471999929;-0.0395616143941879;0.00150000001303852;-0.114636972546577;
15;1.50011903999985;-0.0373548865318298;0.00139999995008111;-0.122839279472828;
16;1.60002047999933;-0.0412897765636444;0.00150000001303852;-0.130764916539192;
17;1.70004479999989;-0.0404389910399914;0.00139999995008111;-0.138999775052071;
18;1.80006911999953;-0.0397477261722088;0.00170000002253801;-0.147560119628906;
19;1.90009343999918;-0.0417949333786964;0.00139999995008111;-0.155957713723183;
20;2.00011775999974;-0.0398806594312191;0.00150000001303852;-0.164534330368042;
21;2.10001919999922;-0.0378600396215916;0.0015999999595806;-0.172997027635574;
22;2.20004351999978;-0.0440814234316349;0.00139999995008111;-0.181573644280434;
23;2.30006783999943;-0.0423798486590385;0.00150000001303852;-0.189808487892151;
24;2.40009215999999;-0.0412897765636444;0.00150000001303852;-0.197701588273048;
25;2.50011647999963;-0.0378866270184517;0.00150000001303852;-0.205936431884766;
26;2.60001792000003;-0.0379132144153118;0.00139999995008111;-0.214268937706947;
27;2.70004223999968;-0.0420076288282871;0.00139999995008111;-0.222601428627968;
28;2.80006655999932;-0.0405985116958618;0.00150000001303852;-0.231129229068756;
29;2.90009087999988;-0.0448258630931377;0.00139999995008111;-0.23964074254036;
30;3.00011519999953;-0.0404921658337116;0.00150000001303852;-0.248070895671844;
31;3.10001663999992;-0.0417151711881161;0.00150000001303852;-0.256322026252747;
32;3.20004095999957;-0.0393223315477371;0.00139999995008111;-0.264263927936554;
33;3.30006527999922;-0.042193740606308;0.00139999995008111;-0.272466242313385;
34;3.40008959999977;-0.0396147891879082;0.00139999995008111;-0.280880123376846;
35;3.50011391999942;-0.0443472936749458;0.0015999999595806;-0.289261430501938;
36;3.60001535999982;-0.0399870090186596;0.00139999995008111;-0.297789216041565;
37;3.70003967999946;-0.0434433333575726;0.00150000001303852;-0.306235641241074;
38;3.80006400000002;-0.0423532612621784;0.00139999995008111;-0.314600706100464;
39;3.90008831999967;-0.0412631891667843;0.00150000001303852;-0.322819262742996;
40;4.00011263999932;-0.0407314486801624;0.00139999995008111;-0.330598443746567;
41;4.10001407999971;-0.0420076288282871;0.00139999995008111;-0.338947236537933;
42;4.20003839999936;-0.0454639531672001;0.0015999999595806;-0.347361087799072;
43;4.30006271999991;-0.0415556505322456;0.00130000000353903;-0.35575869679451;
44;4.40008703999956;-0.0429115928709507;0.00150000001303852;-0.364351570606232;
45;4.50011135999921;-0.0449853874742985;0.00150000001303852;-0.372749179601669;
46;4.6000127999996;-0.0400933586061001;0.00150000001303852;-0.381114214658737;
47;4.70003711999925;-0.0423532612621784;0.00139999995008111;-0.389511823654175;
48;4.80006143999981;-0.0426457189023495;0.00139999995008111;-0.397616475820541;
49;4.90008575999946;-0.039800900965929;0.00150000001303852;-0.40585133433342;
50;5.00011008000001;-0.0385778918862343;0.00150000001303852;-0.414265215396881;
51;5.1000115199995;-0.0439750775694847;0.0015999999595806;-0.422662794589996;
52;5.20003583999915;-0.0415024757385254;0.00150000001303852;-0.431206881999969;
53;5.3000601599997;-0.0409973189234734;0.00139999995008111;-0.439718395471573;
54;5.40008447999935;-0.0450917333364487;0.00150000001303852;-0.448213636875153;
55;5.50010879999991;-0.0424596108496189;0.00139999995008111;-0.456318289041519;
56;5.60001023999939;-0.042193740606308;0.0015999999595806;-0.464146286249161;
57;5.70003455999995;-0.0389235243201256;0.00130000000353903;-0.472413688898087;
58;5.8000588799996;-0.0413163639605045;0.00150000001303852;-0.4807950258255;
59;5.90008319999924;-0.0437623783946037;0.00139999995008111;-0.489160060882568;
60;6.0001075199998;-0.0421405658125877;0.00139999995008111;-0.497720390558243;
61;6.10000895999929;-0.0427786558866501;0.0015999999595806;-0.506199359893799;
62;6.20003327999984;-0.0406516864895821;0.00139999995008111;-0.514596998691559;
63;6.30005759999949;-0.0406782738864422;0.0015999999595806;-0.522815525531769;
64;6.40008192000005;-0.0446929261088371;0.00139999995008111;-0.530773758888245;
65;6.5001062399997;-0.0416088216006756;0.00150000001303852;-0.539024889469147;
66;6.60000767999918;-0.0410504937171936;0.00150000001303852;-0.547455012798309;
67;6.70003199999974;-0.0437623783946037;0.00139999995008111;-0.555836319923401;
68;6.80005631999938;-0.0422735027968884;0.00150000001303852;-0.564396679401398;
69;6.90008063999994;-0.0424064360558987;0.00139999995008111;-0.572794258594513;
70;7.00010495999959;-0.0450119748711586;0.00150000001303852;-0.581077933311462;
71;7.10000639999998;-0.0423798486590385;0.00139999995008111;-0.589312791824341;
72;7.20003071999963;-0.0430179387331009;0.00139999995008111;-0.597222149372101;
73;7.30005503999928;-0.04275206848979;0.00150000001303852;-0.605619788169861;
74;7.40007935999984;-0.043257225304842;0.00150000001303852;-0.614033639431;
75;7.50010367999948;-0.0415556505322456;0.00150000001303852;-0.622447490692139;
76;7.60000511999988;-0.0419544540345669;0.00139999995008111;-0.630975306034088;
77;7.70002943999953;-0.0466869622468948;0.00150000001303852;-0.639503121376038;
78;7.80005375999917;-0.0420076288282871;0.00150000001303852;-0.647835612297058;
79;7.90007807999973;-0.04275206848979;0.00150000001303852;-0.656200647354126;
80;8.00010239999938;-0.045171495527029;0.00150000001303852;-0.663979828357697;
81;8.10000383999977;-0.0432040505111218;0.00130000000353903;-0.672312319278717;
82;8.20002815999942;-0.0411834307014942;0.0015999999595806;-0.680693626403809;
83;8.30005247999998;-0.0449853874742985;0.00139999995008111;-0.689156353473663;
84;8.40007679999962;-0.0422735027968884;0.00139999995008111;-0.697732925415039;
85;8.50010111999927;-0.0410504937171936;0.00150000001303852;-0.706163108348846;
86;8.60000255999967;-0.0428318306803703;0.00139999995008111;-0.714560687541962;
87;8.70002687999931;-0.0430179387331009;0.00150000001303852;-0.722714185714722;
88;8.80005119999987;-0.0393489189445972;0.00139999995008111;-0.730656087398529;
89;8.90007551999952;-0.0426988936960697;0.0015999999595806;-0.738956034183502;
90;9.00009983999917;-0.041422713547945;0.00139999995008111;-0.747369945049286;
91;9.10000127999956;-0.043549682945013;0.00150000001303852;-0.755734980106354;
92;9.20002559999921;-0.0396679639816284;0.00139999995008111;-0.764311611652374;
93;9.30004991999976;-0.0446131676435471;0.00150000001303852;-0.772790551185608;
94;9.40007423999941;-0.0429913513362408;0.0015999999595806;-0.781139314174652;
95;9.50009855999997;-0.0413961261510849;0.00139999995008111;-0.789357900619507;
96;9.60012287999962;-0.0445068180561066;0.00150000001303852;-0.797316074371338;
97;9.70002432000001;-0.041688583791256;0.00139999995008111;-0.805550932884216;
98;9.80004863999966;-0.0426457189023495;0.00150000001303852;-0.814013659954071;
99;9.90007295999931;-0.0422735027968884;0.00150000001303852;-0.82242751121521;
100;10.0000972799999;-0.0434167459607124;0.00130000000353903;-0.831020414829254;
101;10.1001215999995;-0.0411568433046341;0.0015999999595806;-0.839385449886322;
102;10.2000230399999;-0.0421671532094479;0.00139999995008111;-0.847685396671295;
103;10.3000473599996;-0.0422203280031681;0.00150000001303852;-0.85590398311615;
104;10.4000716799992;-0.0413163639605045;0.00139999995008111;-0.863845884799957;
105;10.5000959999998;-0.0413961261510849;0.00150000001303852;-0.872162103652954;
106;10.6001203199994;-0.0446663424372673;0.00150000001303852;-0.880576014518738;
107;10.7000217599998;-0.0416354089975357;0.00139999995008111;-0.888957321643829;
108;10.8000460799994;-0.0420342162251472;0.0015999999595806;-0.897485136985779;
109;10.9000704;-0.0436028577387333;0.00139999995008111;-0.90586644411087;
110;11.0000947199997;-0.041981041431427;0.00150000001303852;-0.91415011882782;
111;11.1001190399993;-0.0418481081724167;0.00139999995008111;-0.92248260974884;
112;11.2000204799997;-0.0446131676435471;0.00139999995008111;-0.930473327636719;
113;11.3000447999993;-0.0432306379079819;0.00150000001303852;-0.938887238502502;
114;11.4000691199999;-0.0412897765636444;0.00139999995008111;-0.947301089763641;
115;11.5000934399995;-0.0446929261088371;0.0015999999595806;-0.955812633037567;
116;11.6001177599992;-0.0431774631142616;0.00130000000353903;-0.964372932910919;
117;11.7000191999996;-0.0420076288282871;0.00139999995008111;-0.972868204116821;
118;11.8000435199992;-0.0439219027757645;0.00150000001303852;-0.981265783309937;
119;11.9000678399998;-0.0409973189234734;0.00150000001303852;-0.989468097686768;
120;12.0000921599994;-0.0429647639393806;0.00150000001303852;-0.997296094894409;
121;12.10011648;-0.0418215207755566;0.00150000001303852;-1.005579829216;
122;12.2000179199995;-0.0432306379079819;0.0015999999595806;-1.01394486427307;
123;12.30004224;-0.0417683459818363;0.00139999995008111;-1.02234244346619;
124;12.4000665599997;-0.0445865802466869;0.00139999995008111;-1.03093528747559;
125;12.5000908799993;-0.0427786558866501;0.00150000001303852;-1.03938174247742;
126;12.6001151999999;-0.0415822379291058;0.00150000001303852;-1.04769790172577;
127;12.7000166399994;-0.0403326414525509;0.00150000001303852;-1.05586767196655;
128;12.8000409599999;-0.046713549643755;0.00139999995008111;-1.06382584571838;
129;12.9000652799996;-0.041130255907774;0.0015999999595806;-1.07212579250336;
130;13.0000895999992;-0.0420873910188675;0.00150000001303852;-1.08060479164124;
