S/No;C_1_Temps[s];C_1_Force[kN];C_1_Déform1[mm];C_1_Valeur de consigne[];C_1_Virtual Channel LX[];C_1_Virtual Channel LE[];C_1_Cycles[];C_1_Valeur de commande[%];C_1_Déplacement[mm]
1;0.100024320000102;1.57810473442078;0.000199999994947575;0.126985415816307;200.0;100.0;0.0;2.68540494143963;0.000862543936818838
2;0.200048640000205;1.65143203735352;0.00039999998989515;0.135320737957954;200.0;100.0;0.0;6.75525292754173;0.00284802238456905
3;0.300072960000307;1.68059802055359;0.000500000023748726;0.143645837903023;200.0;100.0;0.0;7.89594575762749;0.00367801752872765
4;0.400097279999954;1.7192291021347;0.000500000023748726;0.151981174945831;200.0;100.0;0.0;8.12914818525314;0.00475212885066867
5;0.500121600000057;1.80000078678131;0.00039999998989515;0.16031651198864;200.0;100.0;0.0;12.0249584317207;0.00733976066112518
6;0.600023039999996;1.82451403141022;0.000500000023748726;0.168651849031448;200.0;100.0;0.0;11.2221129238606;0.00843014661222696
7;0.700047360000099;1.89111471176147;0.000500000023748726;0.176987186074257;200.0;100.0;0.0;10.4448527097702;0.0108224852010608
8;0.800071680000201;1.91956293582916;0.000500000023748726;0.185312271118164;200.0;100.0;0.0;10.0863970816135;0.0128730619326234
9;0.900096000000303;1.98754620552063;0.000699999975040555;0.193647608160973;200.0;100.0;0.0;7.9271487891674;0.0164859816431999
10;1.00012031999995;2.02413010597229;0.000699999975040555;0.201982945203781;200.0;100.0;0.0;5.29335252940655;0.019480474293232
11;1.10002176000035;2.06161785125732;0.000600000028498471;0.21031828224659;200.0;100.0;0.0;2.38458495587111;0.0233049616217613
12;1.20004607999999;2.10604500770569;0.0007999999797903;0.218653619289398;200.0;100.0;0.0;1.66470017284155;0.0276990532875061
13;1.3000704000001;2.16304755210876;0.000699999975040555;0.226988956332207;200.0;100.0;0.0;5.71800321340561;0.0327441208064556
14;1.4000947200002;2.21882748603821;0.000699999975040555;0.235314041376114;200.0;100.0;0.0;8.52711945772171;0.0385215394198895
15;1.5001190400003;2.25291204452515;0.00039999998989515;0.243649378418922;200.0;100.0;0.0;9.11480188369751;0.0438758209347725
16;1.60002048000024;2.29654145240784;0.000699999975040555;0.251984715461731;200.0;100.0;0.0;8.73811393976212;0.0495393164455891
17;1.70004480000034;2.36066961288452;0.000600000028498471;0.260320037603378;200.0;100.0;0.0;7.06809312105179;0.0563745684921741
18;1.80006911999999;2.39297294616699;0.000500000023748726;0.268655389547348;200.0;100.0;0.0;3.48304621875286;0.0626076683402061
19;1.90009344000009;2.45811128616333;0.00100000004749745;0.276980489492416;200.0;100.0;0.0;1.97524912655354;0.0698660612106323
20;2.00011776000019;2.49387097358704;0.000699999975040555;0.285315811634064;200.0;100.0;0.0;2.54595596343279;0.0762619078159332
21;2.10001920000013;2.55047488212585;0.00120000005699694;0.293651163578033;200.0;100.0;0.0;6.88427314162254;0.0837969556450844
22;2.20004352000024;2.60263895988464;0.00100000004749745;0.301986485719681;200.0;100.0;0.0;8.29970687627792;0.0907949581742287
23;2.30006784000034;2.6429979801178;0.00100000004749745;0.310321807861328;200.0;100.0;0.0;9.01436731219292;0.0980045199394226
24;2.40009215999999;2.70840239524841;0.00179999996908009;0.318646907806396;200.0;100.0;0.0;9.6147894859314;0.105832517147064
25;2.50011648000009;2.74793744087219;0.00100000004749745;0.326982259750366;200.0;100.0;0.0;7.50955566763878;0.112716592848301
26;2.60001792000003;2.79228472709656;0.00150000001303852;0.335317581892014;200.0;100.0;0.0;4.90057058632374;0.120219096541405
27;2.70004224000013;2.85471129417419;0.00209999992512167;0.343652933835983;200.0;100.0;0.0;3.17798815667629;0.128095909953117
28;2.80006656000023;2.90089297294617;0.0015999999595806;0.351988255977631;200.0;100.0;0.0;4.96818125247955;0.135207831859589
29;2.90009088000033;2.94375133514404;0.0019000000320375;0.360313355922699;200.0;100.0;0.0;9.39010381698608;0.14253132045269
30;3.00011519999998;3.00405097007751;0.00289999996311963;0.368648678064346;200.0;100.0;0.0;10.8251169323921;0.150326758623123
31;3.10001663999992;3.05036568641663;0.00230000005103648;0.376984030008316;200.0;100.0;0.0;11.48287281394;0.157373577356339
32;3.20004096000002;3.09178853034973;0.00249999994412065;0.385319352149963;200.0;100.0;0.0;10.9200850129128;0.164680793881416
33;3.30006528000013;3.15339064598084;0.00340000004507601;0.393654704093933;200.0;100.0;0.0;8.77720490098;0.172573879361153
34;3.40008960000023;3.20284271240234;0.00270000007003546;0.401979774236679;200.0;100.0;0.0;5.62755391001701;0.179799720644951
35;3.50011392000033;3.24025082588196;0.00289999996311963;0.410315126180649;200.0;100.0;0.0;3.3987857401371;0.187139481306076
36;3.60001536000027;3.3012683391571;0.00400000018998981;0.418650448322296;200.0;100.0;0.0;3.17208915948868;0.195000022649765
37;3.70003967999992;3.35928130149841;0.00359999993816018;0.426985800266266;200.0;100.0;0.0;5.77557422220707;0.202762931585312
38;3.80006400000002;3.39878964424133;0.0031999999191612;0.435321122407913;200.0;100.0;0.0;7.72615447640419;0.210070133209229
39;3.90008832000012;3.44438672065735;0.00430000014603138;0.443646222352982;200.0;100.0;0.0;9.15546417236328;0.217735379934311
40;4.00011264000022;3.50718545913696;0.00480000022798777;0.451981544494629;200.0;100.0;0.0;9.49038341641426;0.225628480315208
41;4.10001408000016;3.54690647125244;0.00400000018998981;0.460316896438599;200.0;100.0;0.0;8.06467980146408;0.232821762561798
42;4.20003840000027;3.59223747253418;0.00419999985024333;0.468652218580246;200.0;100.0;0.0;5.68519905209541;0.24027544260025
43;4.30006271999991;3.65434503555298;0.00480000022798777;0.476987570524216;200.0;100.0;0.0;2.82083563506603;0.248038351535797
44;4.40008704000002;3.70236134529114;0.00400000018998981;0.485312640666962;200.0;100.0;0.0;2.04440988600254;0.255508303642273
45;4.50011136000012;3.74152398109436;0.00389999989420176;0.493647992610931;200.0;100.0;0.0;6.65275081992149;0.262734144926071
46;4.60001280000006;3.79413986206055;0.00469999993219972;0.501983344554901;200.0;100.0;0.0;8.81803259253502;0.270513296127319
47;4.70003712000016;3.85544991493225;0.00380000006407499;0.510318636894226;200.0;100.0;0.0;9.08295214176178;0.278097182512283
48;4.80006144000026;3.88469552993774;0.0031999999191612;0.518653988838196;200.0;100.0;0.0;9.26038175821304;0.285241663455963
49;4.90008575999991;3.9420440196991;0.00400000018998981;0.526979088783264;200.0;100.0;0.0;7.01752975583076;0.293020814657211
50;5.00011008000001;4.00720882415771;0.00370000000111759;0.535314440727234;200.0;100.0;0.0;3.80167625844479;0.300783723592758
51;5.10001151999995;4.04158592224121;0.00260000000707805;0.543649733066559;200.0;100.0;0.0;2.65104435384274;0.308009564876556
52;5.20003584000006;4.09042644500732;0.00310000008903444;0.551985085010529;200.0;100.0;0.0;2.85269170999527;0.315577149391174
53;5.30006016000016;4.15056657791138;0.00340000004507601;0.560320436954498;200.0;100.0;0.0;7.16709941625595;0.323405146598816
