S/No;C_1_Temps[s];C_1_Force[kN];C_1_Déform1[mm];C_1_Valeur de consigne[];C_1_Virtual Channel LX[];C_1_Virtual Channel LE[];C_1_Cycles[];C_1_Valeur de commande[%];C_1_Déplacement[mm]
1.0;0.0100761599996986;0.0422203280031681;-0.0430000014603138;0.126985415816307;200.0;100.0;0.0;2.68540494143963;0.126647487282753
11.0;0.110100480000256;0.0523500144481659;-0.0414000004529953;0.135320737957954;200.0;100.0;0.0;6.75525292754173;0.132278442382813
21.0;0.21000191999974;0.0612832829356194;-0.0384000018239021;0.143645837903023;200.0;100.0;0.0;7.89594575762749;0.14093641936779
31.0;0.310026239999388;0.0733804181218147;-0.0366999991238117;0.151981174945831;200.0;100.0;0.0;8.12914818525314;0.149578139185905
41.0;0.410050559999945;0.0834303423762321;-0.0359999984502792;0.16031651198864;200.0;100.0;0.0;12.0249584317207;0.157699078321457
51.0;0.510074879999593;0.0916989371180534;-0.0342999994754791;0.168651849031448;200.0;100.0;0.0;11.2221129238606;0.166422158479691
61.0;0.61009920000015;0.100765138864517;-0.0315000005066395;0.176987186074257;200.0;100.0;0.0;10.4448527097702;0.174966230988503
71.0;0.710000639999635;0.111905135214329;-0.0292000006884336;0.185312271118164;200.0;100.0;0.0;10.0863970816135;0.183559119701386
81.0;0.810024960000192;0.124161794781685;-0.0264999996870756;0.193647608160973;200.0;100.0;0.0;7.9271487891674;0.192233383655548
91.0;0.910049279999839;0.131925225257874;-0.0242999996989965;0.201982945203781;200.0;100.0;0.0;5.29335252940655;0.200679793953896
101.0;1.01007359999949;0.139343023300171;-0.0220999997109175;0.21031828224659;200.0;100.0;0.0;2.38458495587111;0.209093675017357
111.0;1.11009792000004;0.149100497364998;-0.0195000004023314;0.218653619289398;200.0;100.0;0.0;1.66470017284155;0.217295974493027
121.0;1.21012223999969;0.158778205513954;-0.0167999994009733;0.226988956332207;200.0;100.0;0.0;5.71800321340561;0.225140243768692
131.0;1.31002368000009;0.168110281229019;-0.0137999998405576;0.235314041376114;200.0;100.0;0.0;8.52711945772171;0.23337510228157
141.0;1.41004799999973;0.180685982108116;-0.0110999997705221;0.243649378418922;200.0;100.0;0.0;9.11480188369751;0.241821512579918
151.0;1.51007232000029;0.189087510108948;-0.0082999998703599;0.251984715461731;200.0;100.0;0.0;8.73811393976212;0.250349313020706
161.0;1.61009663999994;0.196505308151245;-0.0062000001780688;0.260320037603378;200.0;100.0;0.0;7.06809312105179;0.258925914764404
171.0;1.71012095999959;0.209878623485565;-0.0041999998502433;0.268655389547348;200.0;100.0;0.0;3.48304621875286;0.267274707555771
181.0;1.81002239999998;0.218865066766739;-0.0020999999251216;0.276980489492416;200.0;100.0;0.0;1.97524912655354;0.275574654340744
191.0;1.91004671999963;0.225272566080093;-0.00179999996908;0.285315811634064;200.0;100.0;0.0;2.54595596343279;0.283744394779205
201.0;2.01007104000018;0.238220483064651;-0.0006999999750405;0.293651163578033;200.0;100.0;0.0;6.88427314162254;0.291702598333359
211.0;2.11009535999983;0.247898191213608;0.0010999999940395;0.301986485719681;200.0;100.0;0.0;8.29970687627792;0.300067633390427
221.0;2.21011967999948;0.254199326038361;0.00179999996908;0.310321807861328;200.0;100.0;0.0;9.01436731219292;0.308497786521912
231.0;2.31002111999987;0.265977412462235;0.0043999999761581;0.318646907806396;200.0;100.0;0.0;9.6147894859314;0.31694421172142
241.0;2.41004543999952;0.27544242143631;0.0059000002220273;0.326982259750366;200.0;100.0;0.0;7.50955566763878;0.325520843267441
251.0;2.51006976000008;0.284402281045914;0.0077999997884035;0.335317581892014;200.0;100.0;0.0;4.90057058632374;0.333788245916367
261.0;2.61009407999973;0.29437243938446;0.0099999997764825;0.343652933835983;200.0;100.0;0.0;3.17798815667629;0.342023074626923
271.0;2.71011840000028;0.303598165512085;0.0115999998524785;0.351988255977631;200.0;100.0;0.0;4.96818125247955;0.350078910589218
281.0;2.81001983999977;0.313488572835922;0.0140000004321337;0.360313355922699;200.0;100.0;0.0;9.39010381698608;0.358151018619537
291.0;2.91004415999942;0.322554796934128;0.0148999998345971;0.368648678064346;200.0;100.0;0.0;10.8251169323921;0.366548627614975
301.0;3.01006847999997;0.330743610858917;0.017000000923872;0.376984030008316;200.0;100.0;0.0;11.48287281394;0.375011324882507
311.0;3.11009279999962;0.341537982225418;0.0179999992251396;0.385319352149963;200.0;100.0;0.0;10.9200850129128;0.383571654558182
321.0;3.21011712000018;0.347333967685699;0.0190999992191792;0.393654704093933;200.0;100.0;0.0;8.77720490098;0.392115741968155
