Index,Déplacement [ mm ],Force [ N ]
0,1.59556832671909,9573.59999999469
1,1.5980683267191,9573.59999999469
2,1.59556832671909,9573.59999999469
3,1.5968183267191,9565.5999999947
4,1.5968183267191,9565.5999999947
5,1.59556832671909,9573.59999999469
6,1.5980683267191,9573.59999999469
7,1.5944433267191,9612.79999999467
8,1.5991933267191,9628.39999999466
9,1.5980683267191,9675.19999999463
10,1.5991933267191,9721.99999999461
11,1.5991933267191,9807.99999999456
12,1.6028183267191,10238.3999999943
13,1.6089433267191,10566.7999999941
14,1.6161933267191,10785.999999994
15,1.6246933267191,11114.3999999938
16,1.63556832671909,11333.1999999937
17,1.63806832671909,11419.1999999937
18,1.64894332671909,11481.9999999936
19,1.66106832671909,11638.3999999935
20,1.6659433267191,11739.9999999935
21,1.6768183267191,11857.1999999934
22,1.6816933267191,11951.1999999934
23,1.6876933267191,12052.7999999933
24,1.6974433267191,12154.3999999933
25,1.70231832671909,12232.7999999932
26,1.70831832671909,12318.7999999932
27,1.71194332671909,12373.5999999931
28,1.71681832671909,12435.9999999931
29,1.72169332671909,12498.7999999931
30,1.72406832671909,12561.199999993
31,1.73019332671909,12608.399999993
32,1.7314433267191,12639.599999993
33,1.7350683267191,12701.999999993
34,1.73619332671909,12748.7999999929
35,1.7423183267191,12811.5999999929
36,1.7483183267191,12897.5999999928
37,1.7483183267191,12944.3999999928
38,1.7508183267191,13007.1999999928
39,1.7580683267191,13069.5999999928
40,1.7580683267191,13124.3999999927
41,1.7653183267191,13210.3999999927
42,1.7689433267191,13280.7999999926
43,1.77506832671909,13366.7999999926
44,1.77869332671909,13429.5999999926
45,1.78356832671909,13523.1999999925
46,1.78831832671909,13624.7999999924
47,1.79206832671909,13695.1999999924
48,1.7993183267191,13797.1999999923
49,1.8029433267191,13851.5999999923
50,1.8089433267191,13953.5999999923
51,1.8163183267191,14062.7999999922
52,1.8199433267191,14125.5999999922
53,1.8284433267191,14227.1999999921
54,1.8331933267191,14321.1999999921
55,1.83569332671909,14407.199999992
56,1.84419332671909,14500.799999992
57,1.84656832671909,14587.1999999919
58,1.85144332671909,14641.5999999919
59,1.85869332671909,14735.5999999918
60,1.86231832671909,14821.5999999918
61,1.86719332671909,14899.9999999917
62,1.87081832671909,14993.5999999917
63,1.87681832671909,15063.9999999916
64,1.8816933267191,15142.3999999916
65,1.8853183267191,15228.3999999916
66,1.8889433267191,15306.3999999915
67,1.8926933267191,15369.1999999915
68,1.8974433267191,15470.7999999914
69,1.90481832671909,15549.1999999914
70,1.9095683267191,15635.1999999913
71,1.91319332671909,15728.7999999913
72,1.91806832671909,15814.7999999912
73,1.92294332671909,15908.7999999912
74,1.92906832671909,16002.7999999911
75,1.93744332671909,16119.9999999911
76,1.9411933267191,16182.399999991
77,1.9448183267191,16284.399999991
78,1.9495683267191,16377.9999999909
79,1.9544433267191,16471.9999999909
80,1.9580683267191,16573.5999999908
81,1.9629433267191,16651.9999999908
82,1.9678183267191,16761.1999999907
83,1.9738183267191,16847.1999999907
84,1.9774433267191,16933.5999999906
85,1.98356832671909,17027.1999999906
86,1.98719332671909,17128.7999999905
87,1.99206832671909,17214.7999999905
88,1.99806832671909,17324.3999999904
89,2.00294332671909,17410.3999999903
90,2.0090683267191,17504.3999999903
91,2.0163183267191,17621.5999999902
92,2.0199433267191,17691.9999999902
93,2.0223183267191,17770.3999999901
